Lineage,Earliest date
B.1.177.51,2020-10-01
B.1.177.52,2020-08-18
Y.1,2020-11-03
B.1.177.53,2020-08-03
W.1,2020-10-02
W.2,2020-09-23
W.3,2020-08-18
W.4,2020-06-03
B.1.177.54,2020-08-17
V.1,2020-10-05
V.2,2020-10-20
B.1.177.55,2020-08-28
B.1.177.56,2020-08-12
B.1.177.57,2020-06-02
B.1.177.58,2020-09-25
B.1.177.59,2020-09-05
B.1.177.60,2020-08-17
U.1,2020-12-15
U.2,2020-11-11
U.3,2021-01-11
B.1.177.61,2020-09-26
B.1.177.62,2020-10-02
B.1.177.63,2020-10-13
B.1.177.64,2021-01-04
B.1.177.65,2020-08-24
B.1.177.66,2020-10-23
B.1.177.67,2020-11-05
B.1.177.68,2020-12-27
B.1.177.69,2020-09-16
B.1.177.70,2020-11-09
B.1.177.71,2020-09-21
B.1.177.72,2020-11-07
B.1.177.73,2020-04-06
B.1.177.74,2020-10-27
B.1.177.75,2020-09-02
B.1.177.76,2020-10-01
B.1.177.77,2020-03-31
B.1.177.78,2020-10-23
B.1.177.80,2020-10-21
B.1.177.81,2020-08-10
B.1.177.82,2020-08-26
B.1.177.83,2020-08-25
B.1.177.84,2020-09-16
B.1.177.85,2020-10-23
B.1.177.86,2020-09-21
B.1.177.87,2020-08-25
B.1.177.88,2020-12-26
B.1.177.89,2020-11-07
B.1.178,2020-03-17
B.1.179,2020-03-09
B.1.180,2020-04-06
B.1.181,2020-04-20
B.1.182,2020-03-13
B.1.184,2020-06-18
B.1.187,2020-03-28
B.1.188,2020-06-05
B.1.189,2020-04-14
B.1.190,2020-03-13
B.1.192,2020-04-21
B.1.194,2020-05-23
B.1.195,2020-03-17
B.1.198,2020-04-03
B.1.199,2020-03-16
B.1.201,2020-03-06
B.1.203,2020-07-05
B.1.206,2020-04-09
B.1.205,2020-03-05
B.1.208,2020-03-15
B.1.210,2020-03-10
B.1.211,2020-03-04
B.1.212,2020-03-03
B.1.213,2020-05-10
B.1.214,2020-04-18
B.1.214.1,2020-12-05
B.1.214.2,2020-11-22
B.1.214.3,2020-10-15
B.1.214.4,2021-01-25
B.1.215,2020-03-14
B.1.218,2020-07-20
B.1.219,2020-03-22
B.1.220,2020-03-14
B.1.221,2020-01-14
B.1.221.1,2020-08-18
B.1.221.2,2020-03-21
B.1.221.3,2020-09-14
B.1.221.4,2020-09-30
